8192 x 8192 sparse matrix, nnz = 8041
(515,2804)	6.0
(516,2638)	9.0
(516,2641)	3.0
(516,2743)	24.0
(516,2758)	3.0
(516,2785)	3.0
(516,2845)	9.0
(516,2934)	10.0
(517,2634)	3.0
(517,2744)	6.0
(518,2631)	12.0
(518,2745)	3.0
(518,2754)	3.0
(518,2806)	3.0
(518,2838)	3.0
(519,2628)	12.0
(519,2752)	3.0
(519,2839)	9.0
(519,2929)	3.0
(520,2747)	3.0
(520,2762)	6.0
(520,2841)	3.0
(520,3524)	3.0
(520,3663)	3.0
(521,2618)	3.0
(521,3662)	18.0
(522,2616)	3.0
(522,2925)	18.0
(522,3534)	3.0
(523,2774)	6.0
(523,3535)	9.0
(523,3537)	6.0
(523,3612)	3.0
(523,3614)	6.0
(524,2773)	3.0
(524,2923)	3.0
(524,3298)	10.0
(524,3605)	3.0
(525,2771)	3.0
(525,2921)	3.0
(526,2610)	3.0
(526,2766)	12.0
(526,2767)	9.0
(526,2769)	3.0
(526,2771)	6.0
(526,2921)	3.0
(526,3658)	3.0
(527,2609)	3.0
(527,3581)	3.0
(528,2608)	6.0
(528,3410)	6.0
(529,2918)	6.0
(529,3303)	3.0
(530,2929)	12.0
(531,2606)	6.0
(531,2848)	3.0
(531,3646)	20.0
(531,3650)	3.0
(532,2605)	9.0
(532,2816)	3.0
(532,2916)	6.0
(532,3572)	6.0
(532,3632)	3.0
(533,3030)	3.0
(534,2849)	12.0
(535,2936)	3.0
(536,2602)	6.0
(536,2851)	3.0
(536,2899)	3.0
(536,2901)	6.0
(536,2936)	3.0
(536,3741)	3.0
(537,2339)	6.0
(538,3621)	3.0
(539,2362)	3.0
(539,3626)	3.0
(540,2599)	3.0
(542,2598)	3.0
(542,3735)	6.0
(543,2597)	3.0
(543,2940)	6.0
(543,3599)	3.0
(543,3825)	3.0
(544,3808)	6.0
(545,2885)	6.0
(545,2940)	3.0
(545,3843)	3.0
(546,2596)	9.0
(546,2866)	3.0
(546,3738)	3.0
(548,2377)	6.0
(549,2330)	6.0
(549,2857)	6.0
(549,2940)	6.0
(549,3477)	3.0
(549,3797)	12.0
(550,2875)	6.0
(551,3592)	3.0
(551,3795)	6.0
(554,3588)	100.0
(554,3744)	3.0
(555,3745)	9.0
(556,2589)	3.0
(556,3153)	3.0
(556,3217)	6.0
(557,3218)	3.0
(557,3585)	9.0
(558,2844)	3.0
(558,3747)	3.0
(558,3763)	3.0
(561,2407)	3.0
(561,3328)	3.0
(562,2412)	6.0
(562,3264)	3.0
(563,3440)	3.0
(563,3784)	6.0
(564,2583)	6.0
(564,2965)	3.0
(564,3143)	3.0
(564,3783)	3.0
(565,2582)	3.0
(566,2312)	3.0
(566,2861)	3.0
(566,3134)	106.0
(567,2312)	3.0
(567,3048)	3.0
(568,3072)	3.0
(568,3225)	100.0
(569,2579)	3.0
(570,3862)	3.0
(572,2577)	9.0
(572,2860)	3.0
(575,3787)	9.0
(576,2958)	3.0
(578,2970)	16.0
(578,3790)	6.0
(579,3278)	3.0
(580,3794)	3.0
(581,2571)	6.0
(581,3279)	9.0
(581,3856)	3.0
(581,3859)	3.0
(581,3865)	6.0
(582,3876)	3.0
(583,2857)	9.0
(583,2990)	6.0
(583,3888)	6.0
(584,3891)	3.0
(584,3892)	9.0
(585,2856)	3.0
(585,2994)	3.0
(585,3796)	3.0
(586,2995)	9.0
(586,3598)	6.0
(587,2567)	3.0
(587,3897)	3.0
(588,2566)	6.0
(588,2995)	12.0
(589,2427)	3.0
(589,2855)	6.0
(590,3790)	6.0
(591,3789)	6.0
(591,3902)	3.0
(593,2563)	9.0
(596,2562)	15.0
(597,3780)	6.0
(598,3778)	100.0
(599,2560)	3.0
(599,2850)	3.0
(600,2873)	3.0
(602,3912)	3.0
(603,3294)	6.0
(604,2846)	6.0
(604,3918)	6.0
(605,2839)	6.0
(605,3585)	103.0
(606,2558)	9.0
(607,2842)	3.0
(607,3328)	3.0
(607,3584)	3.0
(608,2557)	6.0
(608,3480)	3.0
(610,2846)	6.0
(611,2555)	9.0
(611,2838)	3.0
(612,2555)	3.0
(612,2849)	3.0
(613,3504)	9.0
(613,4013)	3.0
(614,2448)	3.0
(615,3932)	3.0
(615,3973)	6.0
(616,2553)	9.0
(616,2856)	3.0
(616,3926)	3.0
(617,2857)	9.0
(617,2957)	6.0
(618,3974)	3.0
(619,2861)	6.0
(619,3395)	12.0
(620,2863)	3.0
(622,2339)	3.0
(622,2340)	6.0
(622,2362)	3.0
(622,2388)	3.0
(622,2519)	12.0
(622,2521)	9.0
(622,2834)	6.0
(622,2865)	9.0
(622,2866)	12.0
(622,3941)	3.0
(623,2337)	9.0
(623,2344)	3.0
(623,2384)	6.0
(623,2867)	3.0
(623,2868)	3.0
(624,2314)	3.0
(624,2349)	3.0
(624,2869)	6.0
(624,2870)	29.0
(624,3944)	6.0
(625,2514)	13.0
(625,2550)	3.0
(625,2872)	3.0
(626,2512)	3.0
(626,2513)	10.0
(626,2874)	123.0
(627,2296)	10.0
(627,2548)	3.0
(627,2549)	3.0
(627,2876)	3.0
(627,2877)	3.0
(627,2953)	6.0
(627,3947)	3.0
(628,2292)	6.0
(628,2501)	3.0
(628,2504)	3.0
(628,2548)	23.0
(628,2879)	6.0
(628,2944)	10.0
(628,3949)	3.0
(629,2306)	6.0
(629,2459)	3.0
(629,2462)	6.0
(629,2470)	3.0
(629,2473)	6.0
(629,2882)	3.0
(629,2886)	3.0
(630,2458)	3.0
(630,2475)	3.0
(630,2479)	12.0
(630,2488)	3.0
(630,2490)	3.0
(630,2491)	3.0
(630,2887)	9.0
(630,2888)	12.0
(631,2452)	3.0
(631,2484)	3.0
(631,2890)	3.0
(631,3350)	3.0
(632,2893)	3.0
(632,2896)	9.0
(633,2320)	3.0
(633,2446)	3.0
(633,2899)	3.0
(633,2900)	100.0
(634,2901)	3.0
(634,2903)	3.0
(635,3757)	3.0
(636,2864)	3.0
(636,2911)	3.0
(636,3532)	9.0
(636,3757)	3.0
(637,2868)	3.0
(637,2914)	6.0
(637,2915)	9.0
(637,3533)	3.0
(638,2916)	6.0
(638,3375)	10.0
(638,3962)	9.0
(639,2922)	3.0
(640,2835)	15.0
(640,2922)	3.0
(641,2925)	21.0
(641,3312)	12.0
(641,3755)	9.0
(642,2835)	3.0
(642,2876)	9.0
(642,2926)	6.0
(643,2877)	3.0
(644,2929)	6.0
(645,3973)	3.0
(646,2931)	6.0
(646,3540)	3.0
(647,2550)	9.0
(648,2934)	3.0
(648,3978)	3.0
(649,2537)	3.0
(649,2550)	3.0
(650,2937)	3.0
(652,2332)	3.0
(654,2910)	3.0
(656,2945)	6.0
(656,2946)	10.0
(657,3250)	3.0
(657,3806)	3.0
(658,2334)	3.0
(659,3985)	6.0
(660,2923)	3.0
(660,2954)	6.0
(660,3021)	3.0
(660,3726)	100.0
(662,2958)	10.0
(662,3739)	10.0
(662,3740)	3.0
(663,2960)	6.0
(664,2832)	12.0
(664,4046)	12.0
(665,4020)	3.0
(666,3702)	6.0
(666,3703)	3.0
(667,2963)	3.0
(667,3320)	3.0
(668,2963)	12.0
(668,4023)	3.0
(669,3319)	3.0
(669,3982)	3.0
(669,4050)	6.0
(670,2530)	30.0
(670,3057)	6.0
(671,2529)	6.0
(671,2830)	3.0
(672,2549)	3.0
(672,2552)	100.0
(672,2965)	6.0
(672,3319)	6.0
(673,2347)	100.0
(673,2965)	12.0
(673,2966)	9.0
(675,2966)	40.0
(676,2828)	3.0
(676,3237)	3.0
(676,4056)	9.0
(676,4057)	3.0
(677,2548)	10.0
(677,2828)	3.0
(677,3318)	3.0
(677,3984)	3.0
(678,2547)	3.0
(679,2526)	6.0
(679,3321)	3.0
(680,2826)	3.0
(680,4080)	9.0
(681,4092)	9.0
(682,2974)	100.0
(683,2975)	9.0
(684,2977)	3.0
(684,3132)	3.0
(684,4035)	9.0
(686,2979)	13.0
(687,2821)	3.0
(687,2981)	3.0
(687,3988)	3.0
(687,4104)	3.0
(688,3027)	3.0
(688,3132)	3.0
(690,2984)	3.0
(690,2986)	18.0
(694,2990)	6.0
(694,3632)	3.0
(695,4049)	206.0
(696,4131)	110.0
(697,2992)	10.0
(697,3996)	6.0
(697,4051)	3.0
(698,2517)	9.0
(700,2994)	3.0
(700,4130)	3.0
(701,2995)	3.0
(701,3308)	3.0
(702,2514)	3.0
(702,2625)	3.0
(702,2626)	3.0
(702,2631)	6.0
(703,2634)	9.0
(703,2809)	3.0
(703,2996)	3.0
(703,3505)	3.0
(704,2997)	15.0
(705,2513)	100.0
(705,2998)	6.0
(706,2533)	3.0
(706,2620)	9.0
(706,2807)	6.0
(707,2512)	3.0
(707,3613)	13.0
(708,2532)	3.0
(709,2805)	3.0
(709,3131)	16.0
(710,3131)	3.0
(711,2529)	10.0
(711,2605)	3.0
(711,3004)	9.0
(711,3005)	9.0
(711,4062)	6.0
(712,2508)	3.0
(712,2545)	103.0
(712,2603)	12.0
(712,2607)	3.0
(713,2541)	19.0
(713,2544)	12.0
(713,2547)	3.0
(713,2572)	3.0
(713,3155)	6.0
(714,2508)	3.0
(714,2528)	3.0
(714,2551)	9.0
(715,2527)	6.0
(715,2535)	3.0
(715,3303)	19.0
(716,2525)	3.0
(717,2506)	6.0
(717,3014)	3.0
(717,3015)	3.0
(718,2519)	3.0
(718,2799)	3.0
(718,4014)	6.0
(719,2527)	3.0
(719,4120)	3.0
(720,3762)	3.0
(723,2508)	27.0
(723,2510)	3.0
(723,2586)	3.0
(724,2504)	115.0
(724,2507)	3.0
(725,3294)	9.0
(725,3296)	3.0
(725,4197)	6.0
(726,2585)	3.0
(726,3292)	3.0
(727,2388)	6.0
(727,4121)	9.0
(728,2583)	9.0
(729,4120)	3.0
(730,2582)	6.0
(730,4086)	10.0
(730,4120)	3.0
(732,2483)	3.0
(732,2502)	3.0
(732,2578)	6.0
(732,2788)	3.0
(732,3019)	3.0
(734,2571)	10.0
(734,2575)	3.0
(734,3021)	9.0
(734,4091)	3.0
(735,3113)	3.0
(736,2462)	3.0
(736,3283)	3.0
(737,2577)	3.0
(738,2578)	3.0
(739,2578)	3.0
(739,4117)	3.0
(740,2454)	3.0
(740,2782)	19.0
(740,3277)	109.0
(741,2454)	3.0
(742,2331)	3.0
(742,2378)	3.0
(742,2451)	3.0
(742,2565)	6.0
(744,2447)	3.0
(744,2448)	6.0
(744,2562)	3.0
(744,2563)	3.0
(744,3029)	6.0
(745,2365)	12.0
(745,2447)	6.0
(745,2580)	3.0
(746,2423)	3.0
(747,3676)	3.0
(748,2424)	9.0
(748,2441)	3.0
(748,4218)	3.0
(749,2425)	3.0
(749,3166)	6.0
(749,3266)	13.0
(750,2438)	3.0
(752,2552)	6.0
(752,3266)	3.0
(753,3042)	3.0
(754,3110)	3.0
(755,2585)	3.0
(755,3043)	3.0
(756,3266)	3.0
(757,2426)	3.0
(757,2535)	9.0
(757,3042)	6.0
(758,2524)	3.0
(758,3268)	3.0
(761,2418)	6.0
(762,2594)	3.0
(762,3267)	6.0
(764,2413)	3.0
(766,3052)	13.0
(766,4229)	3.0
(767,3052)	6.0
(768,3571)	3.0
(770,3101)	3.0
(771,2759)	3.0
(771,3057)	3.0
(771,3565)	3.0
(772,2504)	3.0
(772,2758)	3.0
(772,4104)	3.0
(774,3270)	9.0
(775,2317)	6.0
(775,3064)	3.0
(776,2601)	3.0
(776,3066)	3.0
(776,4101)	12.0
(777,3200)	3.0
(778,2504)	3.0
(778,2754)	3.0
(778,3199)	6.0
(778,3270)	3.0
(779,3560)	3.0
(779,4372)	3.0
(780,2753)	3.0
(780,3264)	3.0
(781,2752)	3.0
(781,3071)	13.0
(781,3699)	6.0
(782,2603)	6.0
(782,3072)	3.0
(782,4010)	3.0
(782,4239)	3.0
(783,2504)	3.0
(783,2603)	3.0
(783,3073)	6.0
(783,3267)	3.0
(783,4239)	3.0
(785,3557)	3.0
(785,4012)	3.0
(786,3078)	6.0
