2048 x 2048 sparse matrix, nnz = 7022
(128,665)	3.0
(128,666)	6.0
(128,668)	9.0
(128,682)	3.0
(128,684)	30.0
(128,709)	3.0
(128,735)	18.0
(128,871)	10.0
(128,875)	6.0
(128,919)	33.0
(128,920)	6.0
(129,660)	9.0
(129,661)	15.0
(129,662)	16.0
(129,663)	3.0
(129,664)	3.0
(129,685)	15.0
(129,686)	24.0
(129,690)	3.0
(129,697)	6.0
(129,698)	3.0
(129,699)	21.0
(129,701)	22.0
(129,712)	15.0
(129,734)	10.0
(129,918)	3.0
(129,930)	6.0
(130,657)	12.0
(130,658)	12.0
(130,659)	3.0
(130,686)	6.0
(130,687)	6.0
(130,688)	3.0
(130,689)	3.0
(130,691)	6.0
(130,702)	3.0
(130,710)	12.0
(130,711)	3.0
(130,733)	3.0
(130,881)	3.0
(130,916)	3.0
(131,654)	3.0
(131,655)	3.0
(131,694)	9.0
(131,731)	3.0
(131,732)	18.0
(131,825)	10.0
(131,884)	12.0
(131,885)	6.0
(131,902)	3.0
(131,903)	3.0
(131,904)	6.0
(131,916)	18.0
(132,652)	6.0
(132,653)	6.0
(132,692)	21.0
(132,693)	12.0
(132,731)	6.0
(132,853)	6.0
(132,896)	3.0
(132,915)	3.0
(133,652)	15.0
(133,704)	3.0
(133,712)	3.0
(133,729)	6.0
(133,730)	6.0
(133,733)	12.0
(133,826)	3.0
(133,893)	6.0
(133,908)	3.0
(133,912)	20.0
(133,913)	3.0
(134,651)	6.0
(134,713)	15.0
(134,725)	3.0
(134,726)	6.0
(134,734)	6.0
(134,758)	3.0
(134,936)	3.0
(135,585)	6.0
(135,591)	3.0
(135,650)	3.0
(135,906)	3.0
(135,907)	3.0
(136,650)	6.0
(136,735)	6.0
(136,900)	3.0
(136,934)	6.0
(136,952)	6.0
(136,957)	3.0
(137,595)	6.0
(137,649)	9.0
(137,717)	3.0
(137,722)	6.0
(137,735)	3.0
(137,935)	3.0
(137,961)	3.0
(138,583)	6.0
(138,715)	6.0
(138,719)	6.0
(138,735)	6.0
(138,870)	3.0
(138,898)	3.0
(138,949)	6.0
(138,950)	12.0
(139,648)	3.0
(139,789)	3.0
(139,805)	6.0
(139,897)	100.0
(139,936)	3.0
(139,937)	9.0
(140,711)	3.0
(140,805)	3.0
(140,897)	9.0
(140,937)	3.0
(140,941)	3.0
(141,602)	3.0
(141,603)	6.0
(141,646)	6.0
(141,742)	3.0
(141,786)	3.0
(141,816)	3.0
(141,832)	3.0
(141,860)	3.0
(141,946)	9.0
(142,578)	6.0
(142,646)	3.0
(142,716)	3.0
(142,762)	3.0
(142,768)	3.0
(142,784)	106.0
(142,807)	100.0
(143,645)	12.0
(143,715)	3.0
(143,966)	3.0
(144,740)	3.0
(144,947)	9.0
(145,743)	16.0
(145,820)	3.0
(145,948)	6.0
(145,949)	3.0
(146,643)	6.0
(146,715)	9.0
(146,748)	6.0
(146,820)	9.0
(146,964)	3.0
(146,965)	3.0
(146,967)	6.0
(146,969)	3.0
(146,972)	6.0
(146,973)	12.0
(147,642)	9.0
(147,714)	3.0
(147,749)	24.0
(147,900)	6.0
(147,949)	3.0
(147,975)	3.0
(148,607)	3.0
(148,714)	6.0
(148,948)	12.0
(148,976)	3.0
(149,641)	24.0
(150,640)	3.0
(150,713)	3.0
(150,719)	3.0
(150,945)	106.0
(151,712)	6.0
(151,824)	6.0
(151,978)	3.0
(151,980)	6.0
(152,640)	15.0
(152,710)	6.0
(152,711)	3.0
(152,832)	3.0
(152,870)	3.0
(152,896)	3.0
(152,897)	103.0
(153,639)	12.0
(153,710)	3.0
(153,712)	6.0
(153,713)	3.0
(154,612)	3.0
(154,639)	9.0
(154,714)	3.0
(154,876)	9.0
(154,982)	3.0
(154,983)	3.0
(154,994)	6.0
(154,1004)	3.0
(155,715)	9.0
(155,716)	9.0
(155,740)	6.0
(155,849)	12.0
(155,994)	3.0
(156,579)	3.0
(156,585)	18.0
(156,586)	3.0
(156,588)	3.0
(156,591)	3.0
(156,596)	6.0
(156,597)	3.0
(156,630)	12.0
(156,631)	9.0
(156,709)	6.0
(156,717)	27.0
(156,718)	35.0
(156,986)	9.0
(157,573)	6.0
(157,574)	10.0
(157,626)	6.0
(157,628)	3.0
(157,629)	23.0
(157,637)	26.0
(157,638)	6.0
(157,718)	3.0
(157,719)	126.0
(157,720)	9.0
(157,736)	10.0
(157,739)	6.0
(157,988)	3.0
(158,577)	6.0
(158,613)	3.0
(158,615)	6.0
(158,616)	6.0
(158,618)	3.0
(158,619)	9.0
(158,620)	12.0
(158,621)	3.0
(158,622)	3.0
(158,623)	6.0
(158,721)	3.0
(158,722)	24.0
(158,723)	3.0
(158,724)	12.0
(158,838)	3.0
(159,580)	3.0
(159,612)	3.0
(159,716)	3.0
(159,725)	103.0
(159,726)	6.0
(159,728)	3.0
(159,883)	9.0
(159,940)	6.0
(160,709)	15.0
(160,717)	3.0
(160,729)	21.0
(160,731)	6.0
(160,844)	10.0
(160,884)	3.0
(160,991)	9.0
(161,709)	3.0
(161,719)	9.0
(161,720)	3.0
(161,732)	27.0
(161,733)	6.0
(161,828)	12.0
(161,939)	9.0
(162,638)	9.0
(162,733)	6.0
(162,734)	3.0
(162,885)	3.0
(162,994)	3.0
(162,995)	3.0
(163,583)	3.0
(163,635)	3.0
(163,638)	3.0
(163,735)	3.0
(164,728)	3.0
(164,737)	16.0
(165,584)	3.0
(165,731)	3.0
(165,739)	6.0
(165,756)	3.0
(165,813)	3.0
(165,932)	100.0
(165,952)	3.0
(165,997)	6.0
(166,708)	12.0
(166,740)	16.0
(166,935)	13.0
(166,1012)	12.0
(167,741)	15.0
(167,830)	3.0
(167,926)	9.0
(167,1005)	3.0
(167,1006)	3.0
(168,633)	36.0
(168,638)	103.0
(168,708)	3.0
(168,742)	6.0
(168,765)	6.0
(168,830)	9.0
(168,996)	3.0
(168,1013)	6.0
(169,587)	100.0
(169,707)	3.0
(169,742)	61.0
(169,810)	3.0
(169,1014)	9.0
(169,1015)	3.0
(170,632)	6.0
(170,637)	13.0
(170,707)	6.0
(170,830)	3.0
(170,831)	3.0
(170,996)	3.0
(170,1020)	9.0
(171,744)	109.0
(171,745)	3.0
(171,783)	3.0
(171,1009)	9.0
(171,1023)	9.0
(172,706)	3.0
(172,745)	13.0
(172,746)	3.0
(172,757)	3.0
(172,783)	3.0
(172,997)	3.0
(172,1026)	3.0
(173,746)	3.0
(173,747)	18.0
(174,748)	6.0
(174,908)	3.0
(174,1013)	206.0
(174,1033)	110.0
(175,630)	9.0
(175,748)	10.0
(175,749)	3.0
(175,999)	6.0
(175,1013)	3.0
(175,1033)	3.0
(176,629)	3.0
(176,657)	6.0
(176,658)	6.0
(176,659)	9.0
(176,703)	3.0
(176,749)	6.0
(176,750)	15.0
(176,827)	3.0
(176,877)	3.0
(177,628)	3.0
(177,629)	100.0
(177,633)	3.0
(177,634)	3.0
(177,655)	9.0
(177,702)	6.0
(177,750)	6.0
(177,904)	13.0
(178,627)	3.0
(178,633)	10.0
(178,637)	103.0
(178,651)	12.0
(178,652)	6.0
(178,702)	3.0
(178,751)	9.0
(178,752)	9.0
(178,783)	19.0
(178,1016)	6.0
(179,627)	3.0
(179,632)	12.0
(179,634)	3.0
(179,636)	31.0
(179,637)	3.0
(179,638)	9.0
(179,643)	3.0
(179,789)	6.0
(179,826)	19.0
(180,627)	6.0
(180,630)	3.0
(180,632)	3.0
(180,700)	3.0
(180,754)	6.0
(180,941)	3.0
(180,1004)	6.0
(180,1030)	3.0
(181,626)	115.0
(181,627)	30.0
(181,628)	3.0
(181,647)	3.0
(182,597)	6.0
(182,646)	9.0
(182,647)	3.0
(182,823)	3.0
(182,824)	12.0
(182,1031)	9.0
