geometry,time,area_ardida,f
POINT(-7.52118898568267 39.2210115941081),2001-02-19 00:00:00,0.0001,1
POINT(-7.52118898568267 39.5511595048719),2001-02-19 00:00:00,1,1
POINT(-7.52118898568267 40.2114553263995),2001-02-19 00:00:00,2,2
POINT(-7.52118898568267 40.5416032371634),2001-02-19 00:00:00,0.5,1
POINT(-7.52118898568267 41.201899058691),2001-02-19 00:00:00,0.26,3
POINT(-7.52118898568267 41.5320469694549),2001-02-19 00:00:00,0.02,2
POINT(-7.19104107491884 40.8717511479272),2001-02-19 00:00:00,0.01,1
POINT(-7.19104107491884 41.5320469694549),2001-02-19 00:00:00,0.1,1
POINT(-7.19104107491884 41.8621948802187),2001-02-19 00:00:00,25.21,2
POINT(-6.86089316415502 40.8717511479272),2001-02-19 00:00:00,0.01,1
POINT(-6.86089316415502 41.5320469694549),2001-02-19 00:00:00,0.1,1
POINT(-6.53074525339119 41.201899058691),2001-02-19 00:00:00,0.5,1
POINT(-9.50207645026561 38.5607157725804),2001-02-26 00:00:00,0.002,1
POINT(-9.17192853950178 38.2305678618166),2001-02-26 00:00:00,1.05,2
POINT(-8.84178062873798 40.5416032371634),2001-02-26 00:00:00,0.2,1
POINT(-8.84178062873798 40.8717511479272),2001-02-26 00:00:00,2.40,5
POINT(-8.84178062873798 41.201899058691),2001-02-26 00:00:00,0.6,1
POINT(-8.84178062873798 41.5320469694549),2001-02-26 00:00:00,3.37,4
POINT(-8.84178062873798 41.8621948802187),2001-02-26 00:00:00,0.01,1
POINT(-8.51163271797415 39.8813074156357),2001-02-26 00:00:00,0,1
POINT(-8.51163271797415 40.5416032371634),2001-02-26 00:00:00,0.1,1
POINT(-8.51163271797415 40.8717511479272),2001-02-26 00:00:00,0.50,4
POINT(-8.51163271797415 41.201899058691),2001-02-26 00:00:00,0.2,2
POINT(-8.51163271797415 41.5320469694549),2001-02-26 00:00:00,2.75,4
POINT(-8.51163271797415 41.8621948802187),2001-02-26 00:00:00,2.03,2
POINT(-8.18148480721032 39.2210115941081),2001-02-26 00:00:00,0.05,1
POINT(-8.18148480721032 39.5511595048719),2001-02-26 00:00:00,0.01,1
POINT(-8.18148480721032 40.2114553263995),2001-02-26 00:00:00,0.2,1
POINT(-8.18148480721032 40.8717511479272),2001-02-26 00:00:00,0.28,4
POINT(-8.18148480721032 41.201899058691),2001-02-26 00:00:00,3.10,3
POINT(-8.18148480721032 41.5320469694549),2001-02-26 00:00:00,1.7,1
POINT(-7.8513368964465 41.201899058691),2001-02-26 00:00:00,1.55,4
POINT(-7.8513368964465 41.5320469694549),2001-02-26 00:00:00,1,1
POINT(-7.52118898568267 40.8717511479272),2001-02-26 00:00:00,0.02,1
POINT(-7.52118898568267 41.201899058691),2001-02-26 00:00:00,0.04,1
POINT(-7.19104107491884 40.8717511479272),2001-02-26 00:00:00,5,1
POINT(-7.19104107491884 41.8621948802187),2001-02-26 00:00:00,0.5,1
POINT(-6.86089316415502 41.201899058691),2001-02-26 00:00:00,0.5,1
POINT(-8.84178062873798 40.5416032371634),2001-03-05 00:00:00,0.01,1
POINT(-8.51163271797415 39.8813074156357),2001-03-05 00:00:00,0.5,1
POINT(-8.51163271797415 40.5416032371634),2001-03-05 00:00:00,0.18,5
POINT(-8.18148480721032 40.5416032371634),2001-03-05 00:00:00,3.6002,9
POINT(-7.8513368964465 40.5416032371634),2001-03-05 00:00:00,0.4,1
POINT(-7.8513368964465 40.8717511479272),2001-03-05 00:00:00,0.05,1
POINT(-9.17192853950178 38.5607157725804),2001-03-12 00:00:00,0.08,1
POINT(-8.84178062873798 39.5511595048719),2001-03-12 00:00:00,0.0001,1
POINT(-8.51163271797415 40.5416032371634),2001-03-12 00:00:00,0.05,1
POINT(-8.18148480721032 39.8813074156357),2001-03-12 00:00:00,1.1,1
POINT(-8.18148480721032 40.2114553263995),2001-03-12 00:00:00,1.5,1
POINT(-7.8513368964465 41.201899058691),2001-03-12 00:00:00,0.01,1
POINT(-9.50207645026561 39.2210115941081),2001-03-19 00:00:00,0.1,1
POINT(-8.84178062873798 38.2305678618166),2001-03-19 00:00:00,4,1
POINT(-9.17192853950178 38.5607157725804),2001-03-26 00:00:00,0.005,1
POINT(-9.17192853950178 38.8908636833443),2001-03-26 00:00:00,0.001,1
POINT(-9.17192853950178 39.5511595048719),2001-03-26 00:00:00,0.0001,1
POINT(-9.17192853950178 39.8813074156357),2001-03-26 00:00:00,0.0001,1
POINT(-8.51163271797415 39.2210115941081),2001-03-26 00:00:00,0.02,1
POINT(-8.51163271797415 40.8717511479272),2001-03-26 00:00:00,0.08,2
POINT(-8.51163271797415 41.201899058691),2001-03-26 00:00:00,0.02,1
POINT(-8.18148480721032 40.2114553263995),2001-03-26 00:00:00,0.1,1
POINT(-9.50207645026561 38.8908636833443),2001-04-02 00:00:00,0.26,2
POINT(-9.17192853950178 38.2305678618166),2001-04-02 00:00:00,0.03,1
POINT(-8.84178062873798 38.5607157725804),2001-04-02 00:00:00,0.007,1
POINT(-8.84178062873798 38.8908636833443),2001-04-02 00:00:00,0.1,1
POINT(-8.84178062873798 39.2210115941081),2001-04-02 00:00:00,0.005,1
POINT(-8.51163271797415 37.2401241295251),2001-04-02 00:00:00,0.001,1
POINT(-8.51163271797415 39.5511595048719),2001-04-02 00:00:00,2,1
POINT(-8.51163271797415 40.2114553263995),2001-04-02 00:00:00,0.0001,1
POINT(-8.51163271797415 40.5416032371634),2001-04-02 00:00:00,0.02,1
POINT(-8.51163271797415 41.201899058691),2001-04-02 00:00:00,0.02,1
POINT(-8.18148480721032 40.2114553263995),2001-04-02 00:00:00,0.3,1
POINT(-7.8513368964465 39.8813074156357),2001-04-02 00:00:00,1.5,2
POINT(-7.8513368964465 40.5416032371634),2001-04-02 00:00:00,0.0501,2
POINT(-7.52118898568267 41.201899058691),2001-04-02 00:00:00,0.1,1
POINT(-7.19104107491884 40.5416032371634),2001-04-02 00:00:00,2,1
POINT(-7.19104107491884 41.5320469694549),2001-04-02 00:00:00,1,1
POINT(-9.50207645026561 38.5607157725804),2001-04-09 00:00:00,0.2404,4
POINT(-9.50207645026561 38.8908636833443),2001-04-09 00:00:00,1.031,3
POINT(-9.50207645026561 39.2210115941081),2001-04-09 00:00:00,0.04,1
POINT(-9.17192853950178 38.2305678618166),2001-04-09 00:00:00,0.003,2
POINT(-9.17192853950178 38.5607157725804),2001-04-09 00:00:00,0.25,2
POINT(-9.17192853950178 38.8908636833443),2001-04-09 00:00:00,0.02,2
POINT(-9.17192853950178 39.2210115941081),2001-04-09 00:00:00,0.03,1
POINT(-9.17192853950178 39.5511595048719),2001-04-09 00:00:00,0.01,1
POINT(-9.17192853950178 39.8813074156357),2001-04-09 00:00:00,0.0001,1
POINT(-9.17192853950178 41.5320469694549),2001-04-09 00:00:00,0.06,3
POINT(-8.84178062873798 37.5702720402889),2001-04-09 00:00:00,0.0001,1
POINT(-8.84178062873798 37.9004199510528),2001-04-09 00:00:00,0.0102,4
POINT(-8.84178062873798 38.2305678618166),2001-04-09 00:00:00,1.02,3
POINT(-8.84178062873798 38.5607157725804),2001-04-09 00:00:00,9.5,2
POINT(-8.84178062873798 38.8908636833443),2001-04-09 00:00:00,2.05,2
POINT(-8.84178062873798 39.2210115941081),2001-04-09 00:00:00,0.112,3
POINT(-8.84178062873798 39.5511595048719),2001-04-09 00:00:00,1.502,3
POINT(-8.84178062873798 39.8813074156357),2001-04-09 00:00:00,4.03,5
POINT(-8.84178062873798 40.2114553263995),2001-04-09 00:00:00,1.01,2
POINT(-8.84178062873798 40.5416032371634),2001-04-09 00:00:00,1.205,5
POINT(-8.84178062873798 40.8717511479272),2001-04-09 00:00:00,8.32,27
POINT(-8.84178062873798 41.201899058691),2001-04-09 00:00:00,21.70,13
POINT(-8.84178062873798 41.5320469694549),2001-04-09 00:00:00,6.78,17
POINT(-8.84178062873798 41.8621948802187),2001-04-09 00:00:00,0.59,3
POINT(-8.51163271797415 39.2210115941081),2001-04-09 00:00:00,10.546,8
POINT(-8.51163271797415 39.5511595048719),2001-04-09 00:00:00,0.420,7
POINT(-8.51163271797415 39.8813074156357),2001-04-09 00:00:00,3.4671,8
POINT(-8.51163271797415 40.2114553263995),2001-04-09 00:00:00,0.127,4
POINT(-8.51163271797415 40.5416032371634),2001-04-09 00:00:00,9.62,10
POINT(-8.51163271797415 40.8717511479272),2001-04-09 00:00:00,11.29,28
POINT(-8.51163271797415 41.201899058691),2001-04-09 00:00:00,46.96,79
POINT(-8.51163271797415 41.5320469694549),2001-04-09 00:00:00,13.40,32
POINT(-8.51163271797415 41.8621948802187),2001-04-09 00:00:00,10.5,2
POINT(-8.18148480721032 38.8908636833443),2001-04-09 00:00:00,0.0001,1
POINT(-8.18148480721032 39.2210115941081),2001-04-09 00:00:00,0.003,1
POINT(-8.18148480721032 39.5511595048719),2001-04-09 00:00:00,1.020,3
POINT(-8.18148480721032 39.8813074156357),2001-04-09 00:00:00,2.935,4
POINT(-8.18148480721032 40.2114553263995),2001-04-09 00:00:00,1.0503,9
POINT(-8.18148480721032 40.5416032371634),2001-04-09 00:00:00,3.814,11
POINT(-8.18148480721032 40.8717511479272),2001-04-09 00:00:00,4.7001,8
POINT(-8.18148480721032 41.201899058691),2001-04-09 00:00:00,16.87,26
POINT(-8.18148480721032 41.5320469694549),2001-04-09 00:00:00,10.16,8
POINT(-7.8513368964465 39.5511595048719),2001-04-09 00:00:00,0.5,1
POINT(-7.8513368964465 39.8813074156357),2001-04-09 00:00:00,16,2
POINT(-7.8513368964465 40.2114553263995),2001-04-09 00:00:00,8.691,7
POINT(-7.8513368964465 40.5416032371634),2001-04-09 00:00:00,2.7001,7
POINT(-7.8513368964465 40.8717511479272),2001-04-09 00:00:00,4.7021,7
POINT(-7.8513368964465 41.201899058691),2001-04-09 00:00:00,1.58,8
POINT(-7.8513368964465 41.5320469694549),2001-04-09 00:00:00,1,1
POINT(-7.52118898568267 36.9099762187613),2001-04-09 00:00:00,0.01,1
POINT(-7.52118898568267 39.8813074156357),2001-04-09 00:00:00,0.525,2
POINT(-7.52118898568267 40.2114553263995),2001-04-09 00:00:00,8,2
POINT(-7.52118898568267 40.5416032371634),2001-04-09 00:00:00,0.5,1
