geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
19;VISEU;01/01/2008 00:00;IC - Itinerário Complementar;Chuva;1;0;0;1
18;VILA REAL;01/01/2012 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;2
3;BEJA;01/01/2011 00:00;IP- Itinerário Principal;Bom tempo;1;1;0;1
19;VISEU;01/01/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;23
2;AVEIRO;01/01/2009 00:00;IC - Itinerário Complementar;Bom tempo;3;1;0;1
7;COIMBRA;01/01/2007 00:00;IP- Itinerário Principal;Bom tempo;0;1;0;1
14;PORTO;01/01/2011 00:00;A  - Auto-Estrada;Vento Forte;1;0;0;1
14;PORTO;01/01/2010 00:00;A  - Auto-Estrada;Chuva;5;0;0;2
14;PORTO;01/01/2010 00:00;EN - Estrada Nacional;Chuva;7;0;0;1
19;VISEU;01/01/2008 00:00;IP- Itinerário Principal;Bom tempo;1;2;0;1
19;VISEU;01/01/2008 00:00;IP- Itinerário Principal;Bom tempo;2;0;0;3
14;PORTO;01/01/2010 00:00;EN - Estrada Nacional;NÃO DEFINIDO;4;0;0;1
3;BEJA;01/01/2010 00:00;EN - Estrada Nacional;Chuva;0;1;0;1
9;FARO;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;4
16;SETUBAL;01/01/2011 00:00;IP- Itinerário Principal;Bom tempo;3;0;0;1
19;VISEU;01/01/2009 00:00;EN - Estrada Nacional;Chuva;1;0;0;44
16;SETUBAL;01/01/2012 00:00;EN - Estrada Nacional;NÃO DEFINIDO;1;0;0;1
13;PORTALEGRE;01/01/2012 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;2
